Dpto,Municipio,Género,2018,2019,2020,2021,2022,2023
Antioquia,Medellín,AMBOS SEXOS,2.427.129,2.483.545,2.533.424,2.573.220,2.612.958,2.653.729
Antioquia,Medellín,HOMBRES,1.140.658,1.168.926,1.193.791,1.213.421,1.232.847,1.252.750
Antioquia,Medellín,MUJERES,1.286.471,1.314.619,1.339.633,1.359.799,1.380.111,1.400.979
Antioquia,Abejorral,AMBOS SEXOS,20.367,20.258,20.287,20.602,20.920,21.246
Antioquia,Abejorral,HOMBRES,10.534,10.510,10.558,10.744,10.937,11.134
Antioquia,Abejorral,MUJERES,9.833,9.748,9.729,9.858,9.983,10.112
Antioquia,Abriaquí,AMBOS SEXOS,2.695,2.710,2.735,2.777,2.820,2.864
Antioquia,Abriaquí,HOMBRES,1.452,1.464,1.482,1.507,1.534,1.560
Antioquia,Abriaquí,MUJERES,1.243,1.246,1.253,1.270,1.286,1.304
Antioquia,Alejandría,AMBOS SEXOS,4.657,4.669,4.698,4.771,4.845,4.920
Antioquia,Alejandría,HOMBRES,2.320,2.324,2.338,2.374,2.410,2.448
Antioquia,Alejandría,MUJERES,2.337,2.345,2.360,2.397,2.435,2.472
Antioquia,Amagá,AMBOS SEXOS,30.227,30.777,31.283,31.768,32.259,32.762
Antioquia,Amagá,HOMBRES,14.862,15.133,15.382,15.619,15.858,16.103
Antioquia,Amagá,MUJERES,15.365,15.644,15.901,16.149,16.401,16.659
Antioquia,Amalfi,AMBOS SEXOS,25.962,26.552,27.071,27.496,27.921,28.357
Antioquia,Amalfi,HOMBRES,13.028,13.318,13.573,13.772,13.977,14.187
Antioquia,Amalfi,MUJERES,12.934,13.234,13.498,13.724,13.944,14.170
Antioquia,Andes,AMBOS SEXOS,43.269,43.713,44.199,44.885,45.577,46.289
Antioquia,Andes,HOMBRES,22.342,22.614,22.904,23.293,23.680,24.074
Antioquia,Andes,MUJERES,20.927,21.099,21.295,21.592,21.897,22.215
Antioquia,Angelópolis,AMBOS SEXOS,5.756,5.790,5.841,5.932,6.023,6.117
Antioquia,Angelópolis,HOMBRES,2.884,2.905,2.936,2.987,3.041,3.093
Antioquia,Angelópolis,MUJERES,2.872,2.885,2.905,2.945,2.982,3.024
Antioquia,Angostura,AMBOS SEXOS,11.437,11.462,11.536,11.715,11.896,12.081
Antioquia,Angostura,HOMBRES,5.762,5.784,5.830,5.925,6.023,6.123
Antioquia,Angostura,MUJERES,5.675,5.678,5.706,5.790,5.873,5.958
Antioquia,Anorí,AMBOS SEXOS,18.321,18.737,19.104,19.404,19.704,20.011
Antioquia,Anorí,HOMBRES,9.513,9.762,9.992,10.182,10.377,10.578
Antioquia,Anorí,MUJERES,8.808,8.975,9.112,9.222,9.327,9.433
Antioquia,Santafé de Antioquia,AMBOS SEXOS,26.164,26.598,27.002,27.421,27.844,28.279
Antioquia,Santafé de Antioquia,HOMBRES,13.005,13.212,13.404,13.601,13.802,14.011
Antioquia,Santafé de Antioquia,MUJERES,13.159,13.386,13.598,13.820,14.042,14.268
Antioquia,Anza,AMBOS SEXOS,7.010,7.085,7.169,7.280,7.393,7.508
Antioquia,Anza,HOMBRES,3.603,3.648,3.699,3.764,3.830,3.899
Antioquia,Anza,MUJERES,3.407,3.437,3.470,3.516,3.563,3.609
Antioquia,Apartadó,AMBOS SEXOS,121.003,124.647,127.744,129.751,131.754,133.811
Antioquia,Apartadó,HOMBRES,59.413,61.085,62.470,63.350,64.228,65.139
Antioquia,Apartadó,MUJERES,61.590,63.562,65.274,66.401,67.526,68.672
Antioquia,Arboletes,AMBOS SEXOS,29.295,29.942,30.510,30.984,31.462,31.953
Antioquia,Arboletes,HOMBRES,14.676,14.997,15.278,15.494,15.716,15.947
Antioquia,Arboletes,MUJERES,14.619,14.945,15.232,15.490,15.746,16.006
Antioquia,Argelia,AMBOS SEXOS,7.689,7.577,7.545,7.662,7.780,7.902
Antioquia,Argelia,HOMBRES,3.958,3.901,3.886,3.945,4.007,4.069
Antioquia,Argelia,MUJERES,3.731,3.676,3.659,3.717,3.773,3.833
Antioquia,Armenia,AMBOS SEXOS,5.139,5.085,5.074,5.153,5.232,5.314
Antioquia,Armenia,HOMBRES,2.561,2.534,2.528,2.567,2.606,2.646
Antioquia,Armenia,MUJERES,2.578,2.551,2.546,2.586,2.626,2.668
Antioquia,Barbosa,AMBOS SEXOS,51.969,53.242,54.347,55.201,56.053,56.928
Antioquia,Barbosa,HOMBRES,25.758,26.420,26.997,27.430,27.864,28.310
Antioquia,Barbosa,MUJERES,26.211,26.822,27.350,27.771,28.189,28.618
Antioquia,Belmira,AMBOS SEXOS,6.000,6.054,6.116,6.211,6.307,6.405
Antioquia,Belmira,HOMBRES,3.028,3.055,3.087,3.135,3.182,3.232
Antioquia,Belmira,MUJERES,2.972,2.999,3.029,3.076,3.125,3.173
Antioquia,Bello,AMBOS SEXOS,522.264,538.527,552.154,560.831,569.488,578.376
Antioquia,Bello,HOMBRES,251.339,259.448,266.213,270.567,274.868,279.276
Antioquia,Bello,MUJERES,270.925,279.079,285.941,290.264,294.620,299.100
Antioquia,Betania,AMBOS SEXOS,10.323,10.274,10.284,10.444,10.605,10.770
Antioquia,Betania,HOMBRES,5.368,5.338,5.340,5.416,5.492,5.572
Antioquia,Betania,MUJERES,4.955,4.936,4.944,5.028,5.113,5.198
Antioquia,Betulia,AMBOS SEXOS,15.607,15.736,15.896,16.143,16.392,16.648
Antioquia,Betulia,HOMBRES,7.955,8.032,8.126,8.254,8.385,8.519
Antioquia,Betulia,MUJERES,7.652,7.704,7.770,7.889,8.007,8.129
Antioquia,Ciudad Bolívar,AMBOS SEXOS,26.118,26.160,26.313,26.721,27.134,27.557
Antioquia,Ciudad Bolívar,HOMBRES,13.040,13.068,13.152,13.363,13.576,13.795
Antioquia,Ciudad Bolívar,MUJERES,13.078,13.092,13.161,13.358,13.558,13.762
Antioquia,Briceño,AMBOS SEXOS,8.039,8.065,8.120,8.246,8.373,8.504
Antioquia,Briceño,HOMBRES,4.183,4.206,4.244,4.312,4.382,4.454
