Dpto,Género,2018,2019,2020,2021,2022,2023
COLOMBIA,AMBOS SEXOS,48.258.494,49.395.678,50.372.424,51.049.498,51.609.474,52.156.254
COLOMBIA,HOMBRES,23.573.287,24.123.683,24.594.882,24.912.231,25.167.261,25.417.094
COLOMBIA,MUJERES,24.685.207,25.271.995,25.777.542,26.137.267,26.442.213,26.739.160
Antioquia,AMBOS SEXOS,6.407.102,6.550.206,6.677.930,6.782.584,6.887.306,6.994.792
Antioquia,HOMBRES,3.094.159,3.165.003,3.228.014,3.279.143,3.330.177,3.382.645
Antioquia,MUJERES,3.312.943,3.385.203,3.449.916,3.503.441,3.557.129,3.612.147
Atlántico,AMBOS SEXOS,2.535.517,2.638.151,2.722.128,2.771.139,2.804.025,2.835.509
Atlántico,HOMBRES,1.234.444,1.284.737,1.325.986,1.350.303,1.366.869,1.382.767
Atlántico,MUJERES,1.301.073,1.353.414,1.396.142,1.420.836,1.437.156,1.452.742
"Bogotá, D.C.",AMBOS SEXOS,7.412.566,7.592.871,7.743.955,7.834.167,7.901.653,7.968.095
"Bogotá, D.C.",HOMBRES,3.544.078,3.633.389,3.707.838,3.751.549,3.783.875,3.815.676
"Bogotá, D.C.",MUJERES,3.868.488,3.959.482,4.036.117,4.082.618,4.117.778,4.152.419
Bolívar,AMBOS SEXOS,2.070.110,2.130.512,2.180.976,2.213.061,2.236.603,2.258.929
Bolívar,HOMBRES,1.027.323,1.056.847,1.081.525,1.097.255,1.108.851,1.119.855
Bolívar,MUJERES,1.042.787,1.073.665,1.099.451,1.115.806,1.127.752,1.139.074
Boyacá,AMBOS SEXOS,1.217.376,1.230.910,1.242.731,1.251.675,1.259.601,1.267.378
Boyacá,HOMBRES,599.293,606.115,612.054,616.516,620.449,624.303
Boyacá,MUJERES,618.083,624.795,630.677,635.159,639.152,643.075
Caldas,AMBOS SEXOS,998.255,1.008.344,1.018.453,1.027.314,1.036.455,1.046.418
Caldas,HOMBRES,483.738,488.233,492.783,496.753,500.908,505.511
Caldas,MUJERES,514.517,520.111,525.670,530.561,535.547,540.907
Caquetá,AMBOS SEXOS,401.849,406.142,410.521,414.841,419.275,423.857
Caquetá,HOMBRES,203.804,205.507,207.288,209.070,210.944,212.922
Caquetá,MUJERES,198.045,200.635,203.233,205.771,208.331,210.935
Cauca,AMBOS SEXOS,1.464.488,1.478.407,1.491.937,1.504.044,1.516.018,1.528.076
Cauca,HOMBRES,725.274,731.689,737.902,743.385,748.807,754.284
Cauca,MUJERES,739.214,746.718,754.035,760.659,767.211,773.792
Cesar,AMBOS SEXOS,1.200.574,1.252.398,1.295.387,1.322.466,1.341.697,1.359.719
Cesar,HOMBRES,594.330,619.281,639.985,653.048,662.358,671.084
Cesar,MUJERES,606.244,633.117,655.402,669.418,679.339,688.635
Córdoba ,AMBOS SEXOS,1.784.783,1.808.439,1.828.947,1.844.076,1.856.496,1.868.166
Córdoba ,HOMBRES,888.548,899.869,909.635,916.762,922.562,927.987
Córdoba ,MUJERES,896.235,908.570,919.312,927.314,933.934,940.179
Cundinamarca,AMBOS SEXOS,2.919.060,3.085.522,3.242.999,3.372.221,3.478.323,3.577.177
Cundinamarca,HOMBRES,1.442.200,1.524.755,1.602.727,1.666.511,1.718.840,1.767.617
Cundinamarca,MUJERES,1.476.860,1.560.767,1.640.272,1.705.710,1.759.483,1.809.560
Chocó,AMBOS SEXOS,534.826,539.933,544.764,549.225,553.519,557.654
Chocó,HOMBRES,264.228,266.585,268.811,270.860,272.826,274.715
Chocó,MUJERES,270.598,273.348,275.953,278.365,280.693,282.939
Huila,AMBOS SEXOS,1.100.386,1.111.844,1.122.622,1.131.934,1.140.932,1.149.598
Huila,HOMBRES,549.094,554.548,559.677,564.083,568.356,572.483
Huila,MUJERES,551.292,557.296,562.945,567.851,572.576,577.115
La Guajira,AMBOS SEXOS,880.560,927.506,965.718,987.781,1.002.394,1.015.909
La Guajira,HOMBRES,431.247,453.928,472.394,483.073,490.186,496.770
La Guajira,MUJERES,449.313,473.578,493.324,504.708,512.208,519.139
