REGION,Grupos de edad,2020,2021,2022,2023
COLOMBIA,Todas,50372424,51049498,51609474,52156254
COLOMBIA,01-04,3927256,3922169,3903808,3879605
COLOMBIA,05-09,3936569,3957795,3969070,3979773
COLOMBIA,10-14,3975771,3973505,3968201,3967071
COLOMBIA,05-14,7912340,7931300,7937271,7946844
COLOMBIA,15-19,4136556,4102336,4063544,4031577
COLOMBIA,20-24,4327019,4312904,4272536,4224997
COLOMBIA,25-29,4224837,4288150,4320717,4336613
COLOMBIA,30-34,3866655,3954276,4032201,4108420
COLOMBIA,35-39,3604026,3661744,3710050,3762252
COLOMBIA,40-44,3221169,3320634,3410834,3491607
COLOMBIA,15-44,23380262,23640044,23809882,23955466
COLOMBIA,45-49,2909035,2941686,2986738,3049445
COLOMBIA,50-54,2834927,2848466,2854974,2860348
COLOMBIA,55-59,2599963,2657919,2704394,2740678
COLOMBIA,60-64,2146355,2229425,2309239,2385634
COLOMBIA,45-64,10490280,10677496,10855345,11036105
COLOMBIA,65-69,1648967,1723800,1800035,1878101
COLOMBIA,70-74,1199084,1257119,1316733,1378402
COLOMBIA,75-79,804743,847828,892494,938734
COLOMBIA,80-84,494772,519264,545923,575097
COLOMBIA,65-84,4147566,4348011,4555185,4770334
COLOMBIA,85-89,282741,293323,305197,318541
COLOMBIA,90-94,146115,149509,153212,157672
COLOMBIA,95-99,62919,64529,66581,68336
COLOMBIA,85-99,491775,507361,524990,544549
COLOMBIA,100-120,22945,23117,22993,23351
Antioquia,Todas,6677930,6782584,6887306,6994792
Antioquia,01-04,462375,462200,462517,462761
Antioquia,05-09,467103,468809,470594,472721
Antioquia,10-14,482176,480898,480268,480453
Antioquia,05-14,949279,949707,950862,953174
Antioquia,15-19,519500,514075,509425,505913
Antioquia,20-24,572975,568306,561936,555337
Antioquia,25-29,582702,590875,596199,599446
Antioquia,30-34,537182,553187,568571,583106
Antioquia,35-39,495503,505948,516434,528377
Antioquia,40-44,428127,447699,466661,483722
Antioquia,15-44,3135989,3180090,3219226,3255901
Antioquia,45-49,384036,387397,394577,405938
Antioquia,50-54,399613,396871,394097,392200
Antioquia,55-59,379911,389297,396561,401259
Antioquia,60-64,314059,327418,340745,353767
Antioquia,45-64,1477619,1500983,1525980,1553164
Antioquia,65-69,239369,251839,264799,278138
Antioquia,70-74,171913,181349,191303,201776
Antioquia,75-79,112275,119800,127669,135724
Antioquia,80-84,65694,70116,74946,80233
Antioquia,65-84,589251,623104,658717,695871
Antioquia,85-89,35437,37492,39825,42390
Antioquia,90-94,17265,18106,18971,19968
Antioquia,95-99,7371,7643,8045,8390
Antioquia,85-99,60073,63241,66841,70748
Antioquia,100-120,3344,3259,3163,3173
Atlántico,Todas,2722128,2771139,2804025,2835509
Atlántico,01-04,226974,227990,226995,225365
Atlántico,05-09,225820,228295,229463,230601
Atlántico,10-14,225355,226273,226386,226695
Atlántico,05-14,451175,454568,455849,457296
Atlántico,15-19,232282,232063,230535,229223
Atlántico,20-24,235839,238054,237708,236714
Atlántico,25-29,230139,233395,233952,234167
Atlántico,30-34,212053,218269,222550,226184
Atlántico,35-39,196025,200092,202912,206000
Atlántico,40-44,172223,179003,184628,189537
Atlántico,15-44,1278561,1300876,1312285,1321825
Atlántico,45-49,152026,154686,157713,161736
Atlántico,50-54,147259,148047,148315,148704
Atlántico,55-59,134984,138072,140301,141992
Atlántico,60-64,109111,114003,118494,122646
Atlántico,45-64,543380,554808,564823,575078
Atlántico,65-69,81773,85644,89568,93734
Atlántico,70-74,57535,60750,63979,67240
Atlántico,75-79,37300,39365,41516,43818
Atlántico,80-84,22410,23588,24829,26200
Atlántico,65-84,199018,209347,219892,230992
Atlántico,85-89,12462,12944,13491,14098
Atlántico,90-94,6311,6439,6580,6767
Atlántico,95-99,2779,2782,2808,2846
Atlántico,85-99,21552,22165,22879,23711
Atlántico,100-120,1468,1385,1302,1242
Bogotá D.C.,Todas,7743955,7834167,7901653,7968095
Bogotá D.C.,01-04,493287,489189,485305,481629
Bogotá D.C.,05-09,482823,483469,482055,480411
Bogotá D.C.,10-14,490700,486701,482324,479000
Bogotá D.C.,05-14,973523,970170,964379,959411
Bogotá D.C.,15-19,550879,537972,525389,514643
Bogotá D.C.,20-24,711590,691318,666219,642516
Bogotá D.C.,25-29,749246,763808,769783,769097
Bogotá D.C.,30-34,673163,690104,704959,719705
Bogotá D.C.,35-39,613704,622991,630629,639550
Bogotá D.C.,40-44,539925,557246,572221,585360
Bogotá D.C.,15-44,3838507,3863439,3869200,3870871
Bogotá D.C.,45-49,477123,484538,493729,505488
Bogotá D.C.,50-54,468097,468524,468183,468583
Bogotá D.C.,55-59,435209,444369,451102,455938
Bogotá D.C.,60-64,352709,368290,382769,396104
Bogotá D.C.,45-64,1733138,1765721,1795783,1826113
Bogotá D.C.,65-69,260464,274133,288014,302224
Bogotá D.C.,70-74,183141,193312,203784,214739
Bogotá D.C.,75-79,119787,127441,135264,143308
Bogotá D.C.,80-84,71361,76053,81026,86374
Bogotá D.C.,65-84,634753,670939,708088,746645
Bogotá D.C.,85-89,39366,41770,44327,47078
Bogotá D.C.,90-94,19577,20625,21719,22902
Bogotá D.C.,95-99,8078,8526,9035,9525
Bogotá D.C.,85-99,67021,70921,75081,79505
Bogotá D.C.,100-120,3726,3788,3817,3921
Bolívar,Todas,2180976,2213061,2236603,2258929
Bolívar,01-04,199254,199483,198437,196769
Bolívar,05-09,195887,197791,198979,200117
Bolívar,10-14,193275,193757,193956,194362
Bolívar,05-14,389162,391548,392935,394479
Bolívar,15-19,195572,194709,193197,191997
Bolívar,20-24,188765,191243,191986,191769
Bolívar,25-29,177593,179872,181007,182164
Bolívar,30-34,161752,165693,168687,171373
Bolívar,35-39,146875,149768,151990,154205
Bolívar,40-44,130971,134320,137246,140043
Bolívar,15-44,1001528,1015605,1024113,1031551
Bolívar,45-49,118474,119854,121396,123453
Bolívar,50-54,113426,114164,114446,114648
Bolívar,55-59,100572,103474,105787,107545
Bolívar,60-64,81191,84250,87242,90269
Bolívar,45-64,413663,421742,428871,435915
Bolívar,65-69,62440,65029,67636,70333
Bolívar,70-74,44477,46909,49292,51630
Bolívar,75-79,29737,31085,32549,34193
Bolívar,80-84,18966,19695,20507,21389
Bolívar,65-84,155620,162718,169984,177545
Bolívar,85-89,11314,11579,11888,12261
Bolívar,90-94,6132,6176,6229,6298
Bolívar,95-99,2792,2803,2835,2870
Bolívar,85-99,20238,20558,20952,21429
Bolívar,100-120,1511,1407,1311,1241
Boyacá,Todas,1242731,1251675,1259601,1267378
Boyacá,01-04,92449,92144,91499,90626
Boyacá,05-09,95970,96078,96113,96185
Boyacá,10-14,98733,98611,98484,98418
Boyacá,05-14,194703,194689,194597,194603
Boyacá,15-19,99315,98631,98020,97554
Boyacá,20-24,95443,95207,94633,93913
Boyacá,25-29,88587,89722,90442,90743
