Dpto,Municipio,2018,2019,2020
Antioquia,Medellín,2.427.129,2.483.545,2.533.424
Antioquia,Abejorral,20.367,20.258,20.287
Antioquia,Abriaquí,2.695,2.710,2.735
Antioquia,Alejandría,4.657,4.669,4.698
Antioquia,Amagá,30.227,30.777,31.283
Antioquia,Amalfi,25.962,26.552,27.071
Antioquia,Andes,43.269,43.713,44.199
Antioquia,Angelópolis,5.756,5.790,5.841
Antioquia,Angostura,11.437,11.462,11.536
Antioquia,Anorí,18.321,18.737,19.104
Antioquia,Santa Fé de Antioquia,26.164,26.598,27.002
Antioquia,Anzá,7.010,7.085,7.169
Antioquia,Apartadó,121.003,124.647,127.744
Antioquia,Arboletes,29.295,29.942,30.510
Antioquia,Argelia,7.689,7.577,7.545
Antioquia,Armenia,5.139,5.085,5.074
Antioquia,Barbosa,51.969,53.242,54.347
Antioquia,Belmira,6.000,6.054,6.116
Antioquia,Bello,522.264,538.527,552.154
Antioquia,Betania,10.323,10.274,10.284
Antioquia,Betulia,15.607,15.736,15.896
Antioquia,Ciudad Bolívar,26.118,26.160,26.313
Antioquia,Briceño,8.039,8.065,8.120
Antioquia,Buriticá,9.354,9.502,9.634
Antioquia,Cáceres,28.996,29.716,30.356
Antioquia,Caicedo,8.297,8.420,8.536
Antioquia,Caldas,79.638,81.658,83.423
Antioquia,Campamento,9.203,9.202,9.243
Antioquia,Cañasgordas,15.523,15.490,15.552
Antioquia,Caracolí,4.582,4.537,4.532
Antioquia,Caramanta,4.743,4.670,4.648
Antioquia,Carepa,47.932,49.659,51.143
Antioquia,El Carmen de Viboral,59.416,61.122,62.581
Antioquia,Carolina,3.954,3.954,3.972
Antioquia,Caucasia,90.213,93.044,95.427
Antioquia,Chigorodó,57.375,58.684,59.836
Antioquia,Cisneros,9.775,9.844,9.936
Antioquia,Cocorná,15.444,15.042,14.833
Antioquia,Concepción,4.797,4.760,4.758
Antioquia,Concordia,21.377,21.504,21.688
Antioquia,Copacabana,77.884,80.000,81.820
Antioquia,Dabeiba,23.044,23.255,23.509
Antioquia,Donmatías,18.902,19.332,19.709
Antioquia,Ebéjico,12.158,12.108,12.134
Antioquia,El Bagre,51.862,52.925,53.846
Antioquia,Entrerríos,11.159,11.465,11.728
Antioquia,Envigado,228.848,236.114,242.197
Antioquia,Fredonia,24.408,24.553,24.754
Antioquia,Frontino,20.739,20.657,20.700
Antioquia,Giraldo,5.544,5.652,5.750
Antioquia,Girardota,51.662,53.162,54.439
Antioquia,Gómez Plata,9.753,9.828,9.921
Antioquia,Granada,10.117,9.870,9.764
Antioquia,Guadalupe,6.560,6.607,6.665
Antioquia,Guarne,55.121,56.774,58.159
Antioquia,Guatapé,8.363,8.548,8.709
Antioquia,Heliconia,5.451,5.400,5.395
Antioquia,Hispania,5.469,5.530,5.591
Antioquia,Itagüí,276.744,283.794,289.994
Antioquia,Ituango,27.074,27.419,27.789
Antioquia,Jardín,14.518,14.662,14.830
Antioquia,Jericó,13.640,13.637,13.706
Antioquia,La Ceja,64.889,66.746,68.325
Antioquia,La Estrella,71.545,73.696,75.517
Antioquia,La Pintada,8.114,8.298,8.460
Antioquia,La Unión,21.475,21.963,22.391
Antioquia,Liborina,10.028,10.040,10.090
Antioquia,Maceo,8.221,8.218,8.248
Antioquia,Marinilla,64.645,66.399,67.893
Antioquia,Montebello,6.680,6.635,6.641
Antioquia,Murindó,4.911,5.088,5.234
Antioquia,Mutatá,13.991,14.196,14.389
Antioquia,Nariño,10.153,9.997,9.947
Antioquia,Necoclí,42.281,43.257,44.118
Antioquia,Nechí,25.790,26.652,27.354
Antioquia,Olaya,3.127,3.150,3.175
Antioquia,Peñol,21.049,21.427,21.769
Antioquia,Peque,8.097,8.186,8.285
Antioquia,Pueblorrico,8.664,8.681,8.735
Antioquia,Puerto Berrío,39.314,40.048,40.713
Antioquia,Puerto Nare,14.380,14.384,14.440
Antioquia,Puerto Triunfo,18.055,18.550,18.970
Antioquia,Remedios,28.415,29.061,29.629
Antioquia,Retiro,23.514,24.185,24.757
Antioquia,Rionegro,135.465,139.553,142.995
Antioquia,Sabanalarga,9.032,9.155,9.278
Antioquia,Sabaneta,82.375,85.484,87.981
Antioquia,Salgar,18.258,18.218,18.261
Antioquia,San Andrés de Cuerquía,7.235,7.240,7.281
Antioquia,San Carlos,16.247,15.940,15.811
Antioquia,San Francisco,5.648,5.776,5.889
Antioquia,San Jerónimo,15.361,15.710,16.017
Antioquia,San José de La Montaña,3.646,3.706,3.765
Antioquia,San Juan de Urabá,20.093,20.549,20.950
Antioquia,San Luis,12.995,13.035,13.123
Antioquia,San Pedro de Los Milagros,21.949,22.447,22.885
Antioquia,San Pedro de Urabá,30.932,31.571,32.147
Antioquia,San Rafael,15.698,15.632,15.663
Antioquia,San Roque,21.519,21.533,21.597
Antioquia,San Vicente Ferrer,22.093,22.258,22.469
Antioquia,Santa Bárbara,26.784,26.944,27.186
Antioquia,Santa Rosa de Osos,36.318,37.143,37.869
Antioquia,Santo Domingo,12.394,12.326,12.324
Antioquia,El Santuario,35.422,36.043,36.605
Antioquia,Segovia,37.900,38.692,39.379
Antioquia,Sonsón,36.321,36.394,36.625
Antioquia,Sopetrán,15.053,15.293,15.512
Antioquia,Támesis,16.281,16.193,16.201
Antioquia,Tarazá,26.964,27.517,27.995
Antioquia,Tarso,6.184,6.194,6.231
Antioquia,Titiribí,10.775,10.716,10.719
Antioquia,Toledo,4.993,5.005,5.043
Antioquia,Turbo,124.552,127.565,130.191
Antioquia,Uramita,6.888,6.875,6.899
Antioquia,Urrao,30.127,30.484,30.876
Antioquia,Valdivia,13.801,13.950,14.102
Antioquia,Valparaíso,6.498,6.462,6.472
Antioquia,Vegachí,11.810,11.910,12.039
Antioquia,Venecia,11.602,11.636,11.715
Antioquia,Vigía del Fuerte,9.093,9.265,9.423
Antioquia,Yalí,7.608,7.630,7.681
Antioquia,Yarumal,41.542,42.116,42.678
Antioquia,Yolombó,22.538,23.050,23.501
Antioquia,Yondó,19.040,19.624,20.110
Antioquia,Zaragoza,24.651,25.210,25.703
Atlántico,Barranquilla,1.206.319,1.243.056,1.274.250
Atlántico,Baranoa,62.382,64.949,67.050
Atlántico,Campo de La Cruz,22.879,23.230,23.567
Atlántico,Candelaria,15.982,16.648,17.195
Atlántico,Galapa,60.708,64.260,67.021
Atlántico,Juan de Acosta,20.999,21.971,22.752
Atlántico,Luruaco,28.175,29.348,30.314
Atlántico,Malambo,128.203,134.468,139.566
Atlántico,Manatí,19.808,20.698,21.442
Atlántico,Palmar de Varela,28.932,30.094,31.038
Atlántico,Piojó,6.608,6.873,7.089
Atlántico,Polonuevo,18.197,18.941,19.545
Atlántico,Ponedera,23.848,24.877,25.728
Atlántico,Puerto Colombia,49.264,51.695,53.649
Atlántico,Repelón,26.200,27.249,28.102
Atlántico,Sabanagrande,32.334,33.858,35.084
Atlántico,Sabanalarga,93.261,97.005,100.049
Atlántico,Santa Lucía,16.023,16.624,17.104
Atlántico,Santo Tomás,29.829,31.027,32.000
Atlántico,Soledad,603.999,638.065,665.021
Atlántico,Suan,11.940,12.282,12.572
Atlántico,Tubará,17.377,18.190,18.846
Atlántico,Usiacurí,12.250,12.743,13.144
"Bogotá, D.C.","Bogotá, D.C.",7.412.566,7.592.871,7.743.955
Bolívar,Cartagena de Indias,973.045,1.003.685,1.028.736
Bolívar,Achí,24.352,24.610,24.900
Bolívar,Altos del Rosario,10.972,11.309,11.585
Bolívar,Arenal,7.365,7.590,7.775
Bolívar,Arjona,69.503,71.837,73.730
Bolívar,Arroyohondo,8.254,8.504,8.710
Bolívar,Barranco de Loba,14.836,14.996,15.181
Bolívar,Calamar,22.474,22.794,23.097
Bolívar,Cantagallo,8.234,8.488,8.696
Bolívar,Cicuco,13.442,13.903,14.302
Bolívar,Córdoba,15.960,16.225,16.474
Bolívar,Clemencia,14.511,15.014,15.453
Bolívar,El Carmen de Bolívar,70.131,71.428,72.595
Bolívar,El Guamo,8.647,8.825,8.984
Bolívar,El Peñón,7.651,7.884,8.075
Bolívar,Hatillo de Loba,12.317,12.699,13.012
Bolívar,Magangué,133.270,137.030,140.156
Bolívar,Mahates,27.692,28.602,29.355
Bolívar,Margarita,10.673,10.913,11.110
Bolívar,María La Baja,46.112,47.389,48.457
Bolívar,Montecristo,16.389,17.017,17.604
Bolívar,Mompós,44.442,45.498,46.408
Bolívar,Morales,22.259,22.846,23.348
Bolívar,Norosí,9.212,9.587,9.953
Bolívar,Pinillos,24.218,24.433,24.706
Bolívar,Regidor,6.723,6.983,7.227
Bolívar,Río Viejo,10.598,10.638,10.736
Bolívar,San Cristóbal,8.054,8.330,8.569
Bolívar,San Estanislao,18.251,18.729,19.128
Bolívar,San Fernando,12.536,12.813,13.025
Bolívar,San Jacinto,23.913,24.232,24.552
Bolívar,San Jacinto del Cauca,9.935,10.305,10.643
Bolívar,San Juan Nepomuceno,36.874,37.765,38.529
Bolívar,San Martín de Loba,14.774,14.792,14.897
Bolívar,San Pablo,27.190,28.043,28.741
Bolívar,Santa Catalina,14.563,14.747,14.948
Bolívar,Santa Rosa,20.963,21.766,22.409
Bolívar,Santa Rosa del Sur,32.646,33.701,34.568
Bolívar,Simití,18.110,18.678,19.143
Bolívar,Soplaviento,10.650,10.733,10.839
Bolívar,Talaigua Nuevo,13.108,13.106,13.181
Bolívar,Tiquisio,18.035,18.584,19.034
Bolívar,Turbaco,105.166,109.813,113.440
Bolívar,Turbaná,16.403,16.954,17.412
Bolívar,Villanueva,23.777,24.581,25.231
Bolívar,Zambrano,11.880,12.113,12.322
Boyacá,Tunja,172.548,176.347,179.263
Boyacá,Almeida,1.910,1.845,1.807
Boyacá,Aquitania,15.377,15.460,15.546
Boyacá,Arcabuco,5.831,5.911,5.978
Boyacá,Belén,7.481,7.500,7.532
Boyacá,Berbeo,1.596,1.587,1.582
Boyacá,Betéitiva,1.963,1.943,1.935
Boyacá,Boavita,5.059,4.888,4.797
Boyacá,Boyacá,5.089,5.103,5.118
Boyacá,Briceño,2.198,2.175,2.163
Boyacá,Buenavista,4.409,4.396,4.396
Boyacá,Busbanzá,1.118,1.138,1.153
Boyacá,Caldas,3.143,3.127,3.126
Boyacá,Campohermoso,3.121,3.082,3.061
Boyacá,Cerinza,3.713,3.703,3.706
Boyacá,Chinavita,3.209,3.198,3.194
Boyacá,Chiquinquirá,56.054,57.101,57.935
Boyacá,Chiscas,3.994,3.924,3.887
Boyacá,Chita,8.045,7.881,7.793
Boyacá,Chitaraque,5.830,5.843,5.865
Boyacá,Chivatá,2.788,2.812,2.834
Boyacá,Ciénega,4.635,4.642,4.655
Boyacá,Cómbita,12.970,13.140,13.280
Boyacá,Coper,3.619,3.585,3.571
Boyacá,Corrales,2.498,2.523,2.545
Boyacá,Covarachía,2.806,2.742,2.702
Boyacá,Cubará,10.319,10.563,10.750
Boyacá,Cucaita,3.725,3.759,3.787
Boyacá,Cuítiva,1.798,1.804,1.810
Boyacá,Chíquiza,4.684,4.713,4.744
Boyacá,Chivor,2.479,2.504,2.526
Boyacá,Duitama,122.436,124.780,126.670
Boyacá,El Cocuy,4.215,4.150,4.115
Boyacá,El Espino,3.061,3.054,3.054
Boyacá,Firavitoba,6.662,6.737,6.802
Boyacá,Floresta,3.266,3.240,3.231
Boyacá,Gachantivá,2.789,2.779,2.778
Boyacá,Gámeza,4.850,4.845,4.851
Boyacá,Garagoa,17.932,18.144,18.322
Boyacá,Guacamayas,1.865,1.843,1.834
Boyacá,Guateque,10.699,10.809,10.904
Boyacá,Guayatá,3.400,3.387,3.391
Boyacá,Güicán de La Sierra,4.279,4.285,4.301
Boyacá,Iza,1.947,1.972,1.995
Boyacá,Jenesano,7.200,7.274,7.338
Boyacá,Jericó,3.929,3.900,3.889
Boyacá,Labranzagrande,3.526,3.501,3.493
Boyacá,La Capilla,2.689,2.686,2.691
Boyacá,La Victoria,1.118,1.118,1.117
Boyacá,La Uvita,2.999,2.831,2.730
Boyacá,Villa de Leyva,16.139,16.617,16.973
Boyacá,Macanal,4.976,5.027,5.072
Boyacá,Maripí,5.741,5.697,5.683
Boyacá,Miraflores,8.847,8.937,9.015
Boyacá,Mongua,4.636,4.620,4.619
Boyacá,Monguí,4.234,4.266,4.292
Boyacá,Moniquirá,22.572,22.821,23.036
Boyacá,Motavita,5.569,5.641,5.703
Boyacá,Muzo,8.597,8.466,8.394
Boyacá,Nobsa,15.976,16.238,16.446
Boyacá,Nuevo Colón,5.121,5.172,5.217
Boyacá,Oicatá,2.821,2.858,2.890
Boyacá,Otanche,8.018,8.002,8.004
Boyacá,Pachavita,2.467,2.447,2.441
Boyacá,Páez,3.283,3.256,3.244
Boyacá,Paipa,33.535,34.177,34.679
Boyacá,Pajarito,2.390,2.400,2.414
