,Fecha de notificación,Casos Notificados diarios,Acumulados,Día número,Penetración real
0,2020-03-02,1,1,1,0.0
1,2020-03-03,0,1,2,5.490282200505106e-06
2,2020-03-04,0,1,3,5.490282200505106e-06
3,2020-03-05,0,1,4,5.490282200505106e-06
4,2020-03-06,1,2,5,1.0980564401010211e-05
5,2020-03-07,1,3,6,1.647084660151532e-05
6,2020-03-08,2,5,7,2.745141100252553e-05
7,2020-03-09,3,8,8,4.3922257604040845e-05
8,2020-03-10,4,12,9,6.588338640606127e-05
9,2020-03-11,8,20,10,0.00010980564401010212
10,2020-03-12,11,31,11,0.00017019874821565828
11,2020-03-13,13,44,12,0.00024157241682222467
12,2020-03-14,20,64,13,0.00035137806083232676
13,2020-03-15,19,83,14,0.0004556934226419238
14,2020-03-16,29,112,15,0.0006149116064565719
15,2020-03-17,42,154,16,0.0008455034588777863
16,2020-03-18,44,198,17,0.001087075875700011
17,2020-03-19,69,267,18,0.0014659053475348633
18,2020-03-20,78,345,19,0.0018941473591742616
19,2020-03-21,80,425,20,0.00233336993521467
20,2020-03-22,82,507,21,0.0027835730756560887
21,2020-03-23,94,601,22,0.0032996596025035687
22,2020-03-24,141,742,23,0.004073789392774789
23,2020-03-25,163,905,24,0.0049687053914571205
24,2020-03-26,159,1064,25,0.005841660261337433
25,2020-03-27,160,1224,26,0.00672010541341825
26,2020-03-28,166,1390,27,0.007631492258702097
27,2020-03-29,138,1528,28,0.008389151202371803
28,2020-03-30,194,1722,29,0.009454265949269793
29,2020-03-31,190,1912,30,0.010497419567365763
30,2020-04-01,195,2107,31,0.011568024596464258
31,2020-04-02,166,2273,32,0.012479411441748106
32,2020-04-03,187,2460,33,0.01350609421324256
33,2020-04-04,160,2620,34,0.014384539365323377
34,2020-04-05,101,2721,35,0.014939057867574393
35,2020-04-06,150,2871,36,0.01576260019765016
36,2020-04-07,157,3028,37,0.01662457450312946
37,2020-04-08,126,3154,38,0.017316350060393105
38,2020-04-09,141,3295,39,0.018090479850664323
39,2020-04-10,121,3416,40,0.018754803996925442
40,2020-04-11,248,3664,41,0.020116393982650707
41,2020-04-12,157,3821,42,0.02097836828813001
42,2020-04-13,186,4007,43,0.02199956077742396
43,2020-04-14,238,4245,44,0.023306247941144175
44,2020-04-15,169,4414,45,0.024234105633029537
45,2020-04-16,257,4671,46,0.02564510815855935
46,2020-04-17,179,4850,47,0.026627868672449765
47,2020-04-18,206,5056,48,0.027758866805753814
48,2020-04-19,221,5277,49,0.028972219172065446
49,2020-04-20,217,5494,50,0.03016361040957505
50,2020-04-21,221,5715,51,0.03137696277588668
51,2020-04-22,248,5963,52,0.032738552761611944
52,2020-04-23,302,6265,53,0.03439661798616449
53,2020-04-24,306,6571,54,0.03607664433951905
54,2020-04-25,306,6877,55,0.03775667069287361
55,2020-04-26,252,7129,56,0.0391402218074009
56,2020-04-27,408,7537,57,0.041380256945206986
57,2020-04-28,516,8053,58,0.044213242560667616
58,2020-04-29,378,8431,59,0.04628856923245855
59,2020-04-30,475,8906,60,0.048896453277698475
60,2020-05-01,465,9371,61,0.051449434500933346
61,2020-05-02,464,9835,62,0.05399692544196772
62,2020-05-03,394,10229,63,0.056160096628966726
63,2020-05-04,510,10739,64,0.05896014055122433
64,2020-05-05,788,11527,65,0.06328648292522236
65,2020-05-06,744,12271,66,0.06737125288239816
66,2020-05-07,770,13041,67,0.07159877017678709
67,2020-05-08,979,14020,68,0.07697375645108158
68,2020-05-09,743,14763,69,0.08105303612605688
69,2020-05-10,473,15236,70,0.08364993960689579
70,2020-05-11,731,15967,71,0.08766333589546503
71,2020-05-12,821,16788,72,0.09217085758207971
72,2020-05-13,847,17635,73,0.09682112660590754
73,2020-05-14,1059,18694,74,0.10263533545624245
74,2020-05-15,975,19669,75,0.10798836060173493
75,2020-05-16,905,20574,76,0.11295706599319205
76,2020-05-17,842,21416,77,0.11757988360601734
77,2020-05-18,1200,22616,78,0.12416822224662348
78,2020-05-19,1163,23779,79,0.13055342044581092
79,2020-05-20,1394,25173,80,0.13820687383331504
80,2020-05-21,1361,26534,81,0.1456791479082025
81,2020-05-22,1410,27944,82,0.15342044581091469
82,2020-05-23,1421,29365,83,0.16122213681783243
83,2020-05-24,904,30269,84,0.16618535192708905
84,2020-05-25,1157,31426,85,0.17253760843307345
85,2020-05-26,1518,32944,86,0.1808718568134402
86,2020-05-27,1368,34312,87,0.1883825628637312
87,2020-05-28,1409,35721,88,0.19611837048424288
88,2020-05-29,1409,37130,89,0.2038541781047546
