,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,Spanish
0,0,0,0,WORLD,7794799000,7872530000,7948477000,8022618000,8094937000,8165424000,8234075000,8300891000,8365878000,8429045000,8490400000,8549946000,8607674000,8663565000,8717592000,8769737000,8819993000,8868367000,8914871000,8959520000,9002331000,9043311000,9082461000,9119779000,9155260000,9188905000,9220721000,9250725000,9278933000,9305368000,9330050000,9353000000,9374237000,9393775000,9411628000,9427814000,9442357000,9455286000,9466646000,9476485000,9484848000,9491771000,9497282000,9501410000,9504181000,9505625000,9505774000,9504663000,9502332000,9498824000,9494176000,9488417000,9481578000,9473700000,9464828000,9454999000,9444240000,9432565000,9419984000,9406502000,9392122000,9376858000,9360720000,9343704000,9325805000,9307017000,9287349000,9266810000,9245397000,9223103000,9199928000,9175883000,9150985000,9125258000,9098731000,9071430000,9043384000,9014617000,8985154000,8955020000,8924237000,MUNDO
1,1,1,1,Africa,1340598000,1372808000,1405253000,1437931000,1470839000,1503973000,1537331000,1570905000,1604691000,1638680000,1672862000,1707227000,1741757000,1776433000,1811232000,1846132000,1881111000,1916147000,1951214000,1986283000,2021325000,2056317000,2091232000,2126035000,2160688000,2195159000,2229418000,2263445000,2297217000,2330714000,2363916000,2396803000,2429351000,2461542000,2493354000,2524767000,2555764000,2586328000,2616449000,2646118000,2675324000,2704055000,2732295000,2760025000,2787231000,2813894000,2840002000,2865541000,2890500000,2914866000,2938630000,2961777000,2984296000,3006173000,3027395000,3047951000,3067831000,3087023000,3105513000,3123287000,3140331000,3156637000,3172201000,3187016000,3201079000,3214386000,3226936000,3238727000,3249761000,3260040000,3269568000,3278349000,3286388000,3293691000,3300264000,3306116000,3311255000,3315694000,3319444000,3322518000,3324932000,África
2,2,2,2,Asia,4641055000,4678532000,4714403000,4748650000,4781263000,4812238000,4841579000,4869294000,4895398000,4919909000,4942846000,4964219000,4984033000,5002277000,5018937000,5034005000,5047487000,5059405000,5069783000,5078653000,5086045000,5091980000,5096477000,5099556000,5101239000,5101551000,5100515000,5098161000,5094520000,5089627000,5083517000,5076221000,5067769000,5058187000,5047501000,5035737000,5022928000,5009112000,4994332000,4978638000,4962075000,4944681000,4926494000,4907549000,4887883000,4867531000,4846533000,4824927000,4802756000,4780064000,4756892000,4733274000,4709245000,4684852000,4660143000,4635162000,4609940000,4584496000,4558851000,4533019000,4507014000,4480852000,4454548000,4428104000,4401520000,4374796000,4347942000,4320966000,4293865000,4266636000,4239276000,4211791000,4184194000,4156500000,4128727000,4100892000,4073010000,4045096000,4017161000,3989213000,3961263000,Asia
3,3,3,3,Europe,747636000,747292000,746721000,745936000,744950000,743778000,742429000,740916000,739249000,737438000,735493000,733423000,731238000,728947000,726560000,724086000,721533000,718906000,716213000,713461000,710656000,707803000,704905000,701964000,698977000,695946000,692872000,689759000,686607000,683414000,680180000,676908000,673602000,670264000,666895000,663500000,660082000,656646000,653202000,649758000,646324000,642906000,639509000,636144000,632820000,629546000,626329000,623172000,620084000,617072000,614142000,611296000,608536000,605864000,603281000,600784000,598375000,596050000,593804000,591633000,589529000,587488000,585507000,583576000,581687000,579831000,578003000,576200000,574415000,572639000,570869000,569100000,567332000,565565000,563800000,562040000,560286000,558540000,556804000,555080000,553369000,Europa
4,4,4,4,Latin America and the Caribbean,653962000,659674000,665217000,670587000,675777000,680780000,685588000,690192000,694583000,698752000,702691000,706394000,709862000,713098000,716110000,718904000,721483000,723844000,725991000,727924000,729646000,731159000,732464000,733567000,734471000,735180000,735697000,736023000,736161000,736109000,735869000,735443000,734835000,734047000,733083000,731947000,730641000,729168000,727534000,725742000,723796000,721701000,719461000,717079000,714561000,711911000,709133000,706232000,703216000,700089000,696859000,693530000,690108000,686598000,683007000,679340000,675603000,671800000,667938000,664024000,660063000,656059000,652018000,647945000,643842000,639716000,635569000,631405000,627228000,623039000,618844000,614643000,610440000,606237000,602036000,597838000,593647000,589462000,585285000,581118000,576960000,América Latina y el Caribe
5,5,5,5,Northern America,368870000,371023000,373164000,375282000,377367000,379412000,381410000,383357000,385248000,387081000,388855000,390566000,392212000,393788000,395288000,396710000,398053000,399318000,400509000,401631000,402689000,403686000,404625000,405513000,406358000,407166000,407943000,408692000,409421000,410138000,410850000,411560000,412272000,412990000,413718000,414460000,415218000,415992000,416779000,417575000,418377000,419183000,419993000,420801000,421600000,422387000,423158000,423913000,424647000,425357000,426039000,426693000,427318000,427915000,428487000,429034000,429559000,430061000,430546000,431016000,431476000,431928000,432373000,432815000,433256000,433701000,434149000,434603000,435064000,435533000,436010000,436496000,436992000,437496000,438007000,438526000,439051000,439581000,440113000,440646000,441177000,América del norte
6,6,6,6,Oceania,42678000,43201000,43720000,44234000,44741000,45243000,45738000,46227000,46709000,47184000,47653000,48116000,48573000,49023000,49465000,49900000,50327000,50747000,51160000,51567000,51969000,52366000,52758000,53145000,53527000,53904000,54276000,54644000,55007000,55365000,55718000,56066000,56408000,56745000,57077000,57403000,57724000,58039000,58349000,58653000,58952000,59244000,59531000,59812000,60087000,60356000,60619000,60877000,61129000,61375000,61615000,61849000,62076000,62298000,62515000,62726000,62933000,63134000,63331000,63523000,63711000,63894000,64074000,64249000,64420000,64587000,64750000,64910000,65065000,65215000,65361000,65503000,65639000,65771000,65897000,66018000,66134000,66244000,66347000,66445000,66535000,Oceanía
7,7,7,7,Burundi,11891000,12250000,12611000,12975000,13342000,13711000,14084000,14459000,14838000,15219000,15604000,15992000,16382000,16776000,17173000,17574000,17977000,18384000,18794000,19206000,19621000,20039000,20459000,20880000,21303000,21727000,22151000,22576000,23001000,23425000,23847000,24268000,24686000,25102000,25515000,25925000,26332000,26735000,27134000,27528000,27918000,28303000,28683000,29059000,29429000,29794000,30154000,30510000,30860000,31205000,31546000,31881000,32211000,32536000,32855000,33167000,33474000,33773000,34066000,34352000,34630000,34902000,35166000,35423000,35671000,35912000,36143000,36367000,36581000,36787000,36983000,37170000,37348000,37517000,37676000,37826000,37968000,38100000,38224000,38339000,38446000,Burundi
8,8,8,8,Comoros,870000,888000,907000,926000,944000,963000,982000,1000000,1019000,1038000,1057000,1076000,1094000,1113000,1132000,1151000,1169000,1188000,1207000,1225000,1244000,1262000,1281000,1299000,1317000,1335000,1353000,1371000,1388000,1405000,1422000,1439000,1455000,1471000,1487000,1503000,1518000,1533000,1547000,1562000,1576000,1590000,1603000,1616000,1628000,1641000,1653000,1664000,1676000,1687000,1697000,1707000,1717000,1727000,1736000,1744000,1752000,1760000,1767000,1774000,1781000,1787000,1792000,1798000,1802000,1807000,1811000,1814000,1817000,1820000,1822000,1823000,1825000,1826000,1826000,1826000,1826000,1825000,1824000,1823000,1821000,Comoras
9,9,9,9,Djibouti,988000,1002000,1015000,1028000,1041000,1053000,1065000,1077000,1088000,1099000,1109000,1119000,1128000,1137000,1146000,1155000,1163000,1170000,1178000,1185000,1192000,1198000,1204000,1210000,1216000,1221000,1226000,1231000,1235000,1239000,1243000,1246000,1249000,1251000,1253000,1255000,1256000,1257000,1257000,1257000,1257000,1256000,1255000,1253000,1251000,1249000,1246000,1244000,1241000,1237000,1234000,1230000,1226000,1222000,1218000,1213000,1209000,1205000,1200000,1195000,1190000,1186000,1181000,1176000,1170000,1165000,1160000,1154000,1149000,1143000,1137000,1131000,1125000,1119000,1113000,1107000,1100000,1094000,1087000,1081000,1075000,Djibouti
