Departamento;Especialistas*;Médicos Generales;Enfermeras;Terapeutas;Auxiliares;;;
Antioquia;1.123;10.678;5.999;2.820;23.402;;;
Atlántico;344;5.477;3.765;2.209;11.245;;;
Bogotá, D.C.;1.863;22.460;16.881;10.379;78.421;;;
Bolívar;234;2.867;2.004;947;5.989;;;
Boyacá;103;1.212;1.174;841;5.915;;;
Caldas;195;1.270;1.360;645;5.535;;;
Caquetá;23;276;255;120;1.958;;;
Cauca;110;1.280;1.232;925;6.437;;;
Cesar;182;1.472;1.525;752;5.729;;;
Córdoba;153;1.518;1.106;439;6.286;;;
Cundinamarca;161;1.944;1.975;1.161;12.058;;;
Chocó;15;242;359;159;1.189;;;
Huila;166;1.609;1.102;525;5.896;;;
La Guajira;67;725;641;359;3.142;;;
Magdalena;85;1.282;1.119;408;4.289;;;
Meta;54;1.125;1.143;352;6.401;;;
Nariño;145;1.831;1.766;607;3.832;;;
Norte de Santander;167;1.220;1.358;885;7.200;;;
Quindío;97;697;665;242;3.050;;;
Risaralda;195;1.634;1.477;543;3.368;;;
Santander;316;3.466;3.249;1.676;11.047;;;
Sucre;77;870;785;360;3.774;;;
Tolima;153;1.212;1.266;556;8.083;;;
Valle del Cauca;736;7.932;5.686;4.487;28.183;;;
Arauca;18;237;257;185;1.183;;;
Casanare;33;423;382;218;1.972;;;
Putumayo;33;236;275;136;1.194;;;
San Andrés y Providencia;11;131;130;176;863;;;
Amazonas;5;88;106;69;579;;;
Guainía;-;70;60;46;273;;;
Guaviare;7;67;106;29;435;;;
Vaupés;-;11;37;2;57;;;
Vichada;5;116;115;139;1.257;;;
TOTAL NACIONAL;6.876;75.678;59.360;33.397;260.242;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Fuente: Stock de THS 2019, estimaciones de la Dirección de Desarrollo del Talento Humano en Salud (DDTHS) - MSPS a partir de Stock de THS, Estadísticas graduados SNIES y SIET MEN, Convalidados MEN;;;;;;;;
;;;;;;;;
* Sumatoria de especialistas de cuidado critico adulto y pediátrico, medicina interna, anestesiología y cirugía general ** Sumatoria de profesionales en fisioterapia y terapia respiratoria;;;;;;;;
